,id,num,run,amplitude_difference
0,001,100,0,3.941676124360231e-07
1,001,200,0,9.781025338162124e-07
2,001,300,0,-4.6497034618273116e-07
3,001,400,0,-8.279888697820164e-07
4,001,500,0,-2.0487454495240488e-07
5,001,600,0,5.927638095515283e-07
6,001,700,0,4.62238478958918e-10
7,001,800,0,2.920265329001443e-07
8,001,900,0,5.431910337058161e-07
9,001,1000,0,6.702036849578062e-07
10,001,1100,0,6.885771954377399e-07
11,001,1200,0,9.169636001439215e-07
12,001,100,1,-1.7881386189789024e-06
13,001,200,1,-1.04922290966728e-06
14,001,300,1,-9.233387972090817e-07
15,001,400,1,-3.881995595242122e-07
16,001,500,1,-3.786666523113889e-07
17,001,600,1,-4.18279612120528e-07
18,001,700,1,-6.002908133984656e-07
19,001,800,1,-3.2480502816703725e-07
20,001,900,1,-2.216458418555976e-07
21,001,1000,1,-8.154284619761461e-08
22,001,1100,1,-1.1767283024796727e-08
23,001,1200,1,1.1009069009434838e-09
24,001,100,2,-1.2133818182386018e-07
25,001,200,2,8.208950387006057e-08
26,001,300,2,-1.4971079830669278e-07
27,001,400,2,-5.461927079489301e-07
28,001,500,2,-8.917896580329706e-07
29,001,600,2,-8.51553794506897e-07
30,001,700,2,-6.471909361722377e-07
31,001,800,2,-2.5019648403269034e-07
32,001,900,2,-9.451097007926676e-08
33,001,1000,2,8.89168659596399e-08
34,001,1100,2,-3.1453638248249014e-08
35,001,1200,2,5.7696526543561634e-08
36,001,100,3,-1.575625873363113e-06
37,001,200,3,-5.007863429739149e-07
38,001,300,3,2.9506122828666174e-07
39,001,400,3,-9.664263779838931e-08
40,001,500,3,1.756618152640098e-07
41,001,600,3,1.6593748649794934e-07
42,001,700,3,2.6109218207749456e-07
43,001,800,3,4.1178635079373065e-07
44,001,900,3,3.1553371044948e-07
45,001,1000,3,4.588170817748513e-07
46,001,1100,3,5.970870028434419e-07
47,001,1200,3,5.357471456080172e-07
48,001,100,4,7.347938864389138e-07
49,001,200,4,1.2243014175604042e-06
50,001,300,4,5.150355958055556e-07
51,001,400,4,8.864061402901893e-07
52,001,500,4,3.546393397040497e-07
53,001,600,4,2.686527120609316e-07
54,001,700,4,1.4711695332879158e-07
55,001,800,4,1.6161014777844878e-07
56,001,900,4,-1.2162502761535178e-07
57,001,1000,4,1.0363547203035199e-07
58,001,1100,4,2.222177938111665e-07
59,001,1200,4,1.9516472891814063e-07
60,001,100,5,-1.2722723141083167e-06
61,001,200,5,-2.3318651712553614e-06
62,001,300,5,-1.7211202527936742e-06
63,001,400,5,-1.1313961432489216e-06
64,001,500,5,-5.663442790834881e-07
65,001,600,5,-8.186611752705049e-07
66,001,700,5,-7.238256212038212e-07
67,001,800,5,-5.954374248065427e-07
68,001,900,5,-4.67041134866318e-08
69,001,1000,5,-1.6048980290584522e-07
70,001,1100,5,4.526329410957154e-08
71,001,1200,5,-5.2297581637063444e-08
72,001,100,6,1.5786961629795617e-06
73,001,200,6,6.88310515764148e-07
74,001,300,6,8.88788608753795e-07
75,001,400,6,2.1796828352921785e-07
76,001,500,6,3.9152070902106744e-07
77,001,600,6,4.3541290583966266e-07
78,001,700,6,8.561745793871458e-07
79,001,800,6,6.925714641184036e-07
80,001,900,6,6.999144950758626e-07
81,001,1000,6,4.4779007538712335e-07
82,001,1100,6,4.31894208663113e-07
83,001,1200,6,2.2402781340035553e-07
84,001,100,7,8.553158664090114e-07
85,001,200,7,2.235604518601285e-06
86,001,300,7,1.0269827986542639e-06
87,001,400,7,6.530988462290938e-07
88,001,500,7,1.2741826759821916e-06
89,001,600,7,1.1350754971214617e-06
90,001,700,7,8.153200379416693e-07
91,001,800,7,4.5086398751077554e-07
92,001,900,7,2.2749080456789267e-07
93,001,1000,7,2.2181287456442495e-07
94,001,1100,7,1.8164146842655857e-07
95,001,1200,7,3.8108980543253886e-08
96,001,100,8,2.0173103629738023e-06
97,001,200,8,-2.669978124742014e-07
98,001,300,8,2.63029539647922e-07
99,001,400,8,-5.242677001668401e-07
100,001,500,8,-4.377510065353261e-07
101,001,600,8,-2.3077501797869263e-07
102,001,700,8,9.828657244797015e-08
103,001,800,8,3.0176094936674623e-07
104,001,900,8,7.498606016335638e-07
105,001,1000,8,5.977894529464973e-07
106,001,1100,8,6.990722907101168e-07
107,001,1200,8,6.973113850283678e-07
108,001,100,9,-3.174487719398619e-07
109,001,200,9,-9.090164828404617e-07
110,001,300,9,-5.833029648897892e-07
111,001,400,9,-2.083928147174254e-07
112,001,500,9,-3.18016129910956e-07
113,001,600,9,-1.1648285529219732e-07
114,001,700,9,2.851773334010205e-07
115,001,800,9,1.0685059298626406e-07
116,001,900,9,1.337918551760902e-07
117,001,1000,9,1.860776271811658e-07
118,001,1100,9,3.49188160273621e-07
119,001,1200,9,3.5887798816150573e-07
120,001,100,10,9.774050133739863e-07
121,001,200,10,2.820041111549112e-07
122,001,300,10,2.9900550745786094e-07
123,001,400,10,4.463930108582556e-07
124,001,500,10,4.4630407089952703e-07
125,001,600,10,4.850122017582966e-07
126,001,700,10,6.425468755425386e-07
127,001,800,10,7.76151549607139e-07
128,001,900,10,1.0166085157196098e-06
129,001,1000,10,9.443308440558607e-07
130,001,1100,10,5.566093949955469e-07
131,001,1200,10,4.236075201849157e-07
132,001,100,11,-2.219018901390793e-07
133,001,200,11,-1.7949763145687604e-07
134,001,300,11,1.116373969702589e-06
135,001,400,11,4.458738659401591e-07
136,001,500,11,4.87797352201005e-07
137,001,600,11,7.245169187992376e-07
138,001,700,11,7.947619336523392e-07
139,001,800,11,7.040392578492447e-07
140,001,900,11,4.927258716822275e-07
141,001,1000,11,6.041490464820541e-07
142,001,1100,11,4.874337251129439e-07
143,001,1200,11,4.956111571518586e-07
144,001,100,12,-1.4816257740035523e-06
145,001,200,12,-7.301225093123086e-07
146,001,300,12,-8.711052742305668e-07
147,001,400,12,-6.062391203205997e-07
148,001,500,12,-5.474664037233733e-07
149,001,600,12,-1.5169291270947865e-08
150,001,700,12,-2.4622083528827237e-07
151,001,800,12,-6.837089631154749e-07
152,001,900,12,-6.430549673612624e-07
153,001,1000,12,-5.886969698629087e-07
154,001,1100,12,-3.8941921676345495e-07
