SOA,Participant,Condition,StimulusType,MeanAmplitude,Electrode
100,100_18,random,A-1,1.0043767391110236e-09,fronto_pooled
100,100_19,random,A-1,2.811548180829959e-07,fronto_pooled
100,100_0,random,A-1,2.752477921603713e-06,mastoids_pooled
100,100_1,random,A-1,8.561393067907375e-07,mastoids_pooled
100,100_2,random,A-1,-4.782003943546443e-06,mastoids_pooled
100,100_3,random,A-1,1.0358465124227222e-06,mastoids_pooled
100,100_4,random,A-1,2.3759292408165323e-07,mastoids_pooled
100,100_5,random,A-1,1.1652424689145846e-07,mastoids_pooled
100,100_6,random,A-1,1.6737572559577529e-06,mastoids_pooled
100,100_7,random,A-1,2.3062397917783526e-06,mastoids_pooled
100,100_8,random,A-1,1.957831826970846e-07,mastoids_pooled
100,100_9,random,A-1,7.823763533565398e-07,mastoids_pooled
100,100_10,random,A-1,1.0775502325088837e-07,mastoids_pooled
100,100_11,random,A-1,-5.034291220908927e-06,mastoids_pooled
100,100_12,random,A-1,2.7166495465280606e-06,mastoids_pooled
100,100_13,random,A-1,-2.1947489699414293e-06,mastoids_pooled
100,100_14,random,A-1,1.902258493391429e-07,mastoids_pooled
100,100_15,random,A-1,-2.437042126075539e-06,mastoids_pooled
100,100_16,random,A-1,-8.438011109319632e-06,mastoids_pooled
100,100_17,random,A-1,1.690066214905528e-06,mastoids_pooled
100,100_18,random,A-1,-3.355777832503293e-08,mastoids_pooled
100,100_19,random,A-1,1.612225196510053e-06,mastoids_pooled
100,100_0,random,A-2,1.7498563984474912e-08,FZ
100,100_1,random,A-2,-5.468224270543942e-07,FZ
100,100_2,random,A-2,-2.4182384868254303e-06,FZ
100,100_3,random,A-2,-5.3410448082047427e-08,FZ
100,100_4,random,A-2,-5.258098997273919e-07,FZ
100,100_5,random,A-2,2.196666004650183e-07,FZ
100,100_6,random,A-2,8.659463691174097e-07,FZ
100,100_7,random,A-2,-3.4810682518582326e-06,FZ
100,100_8,random,A-2,-1.0357767030200194e-06,FZ
100,100_9,random,A-2,-1.1822157219398833e-07,FZ
100,100_10,random,A-2,-5.789161673419585e-07,FZ
100,100_11,random,A-2,-2.366705639360589e-06,FZ
100,100_12,random,A-2,5.093954666790524e-07,FZ
100,100_13,random,A-2,7.910353622264665e-07,FZ
100,100_14,random,A-2,-7.454022875208466e-07,FZ
100,100_15,random,A-2,4.3172785836986803e-07,FZ
100,100_16,random,A-2,-9.15658580197487e-06,FZ
100,100_17,random,A-2,1.5289321572709014e-06,FZ
100,100_18,random,A-2,-9.221376103596413e-07,FZ
100,100_19,random,A-2,-1.8993861971239313e-07,FZ
100,100_0,random,A-2,-1.5628615791740684e-07,CZ
100,100_1,random,A-2,-1.3582918290921952e-06,CZ
100,100_2,random,A-2,-1.5218480143630585e-06,CZ
100,100_3,random,A-2,6.970145034301822e-07,CZ
100,100_4,random,A-2,-4.195614067725728e-07,CZ
100,100_5,random,A-2,1.2032454947075167e-06,CZ
100,100_6,random,A-2,9.198883446970285e-08,CZ
100,100_7,random,A-2,-2.681511750779464e-06,CZ
100,100_8,random,A-2,-9.019708170399099e-07,CZ
100,100_9,random,A-2,1.7050129791584822e-07,CZ
100,100_10,random,A-2,3.402724916945488e-08,CZ
100,100_11,random,A-2,-1.5311853258026532e-06,CZ
100,100_12,random,A-2,8.410712632667128e-07,CZ
100,100_13,random,A-2,3.009414704990832e-07,CZ
100,100_14,random,A-2,-4.698669624758622e-07,CZ
100,100_15,random,A-2,1.0961593480018905e-07,CZ
100,100_16,random,A-2,-8.754270420467946e-06,CZ
100,100_17,random,A-2,6.210769686276763e-07,CZ
100,100_18,random,A-2,-8.654172120259318e-07,CZ
100,100_19,random,A-2,-1.0869060383811301e-06,CZ
100,100_0,random,A-2,2.94985781692958e-06,M1
100,100_1,random,A-2,1.0519213651605241e-06,M1
100,100_2,random,A-2,-5.084615295345429e-06,M1
100,100_3,random,A-2,1.0948632257168355e-06,M1
100,100_4,random,A-2,2.2848203187209037e-08,M1
100,100_5,random,A-2,9.70740788943658e-07,M1
100,100_6,random,A-2,-1.2559560026659254e-07,M1
100,100_7,random,A-2,1.434819737369253e-06,M1
100,100_8,random,A-2,-1.079365650014097e-07,M1
100,100_9,random,A-2,1.3188689976573187e-07,M1
100,100_10,random,A-2,2.180835644499668e-07,M1
100,100_11,random,A-2,-7.96354966951185e-06,M1
100,100_12,random,A-2,2.424015255542145e-07,M1
100,100_13,random,A-2,-3.1574693548463984e-06,M1
100,100_14,random,A-2,-8.345595844616583e-08,M1
100,100_15,random,A-2,-2.2245967738854233e-06,M1
100,100_16,random,A-2,-9.155171719612554e-06,M1
100,100_17,random,A-2,8.266525424005522e-07,M1
100,100_18,random,A-2,8.15798346138763e-07,M1
100,100_19,random,A-2,8.596347151978989e-07,M1
100,100_0,random,A-2,1.355519416392781e-06,M2
100,100_1,random,A-2,1.1728380263775763e-06,M2
100,100_2,random,A-2,-1.9248848138886386e-06,M2
100,100_3,random,A-2,7.961541587064858e-07,M2
100,100_4,random,A-2,-3.5758645900330066e-07,M2
100,100_5,random,A-2,-1.2615058778919774e-07,M2
100,100_6,random,A-2,-4.22789713070415e-07,M2
100,100_7,random,A-2,1.5804136455699335e-06,M2
100,100_8,random,A-2,8.10840200990981e-07,M2
100,100_9,random,A-2,7.970308138283144e-07,M2
100,100_10,random,A-2,3.8620079038764745e-07,M2
100,100_11,random,A-2,-3.6109906432102436e-06,M2
100,100_12,random,A-2,1.3970446525490844e-06,M2
100,100_13,random,A-2,-1.985186422643892e-06,M2
100,100_14,random,A-2,4.634828826510784e-07,M2
100,100_15,random,A-2,-1.793817282305099e-06,M2
100,100_16,random,A-2,-1.1155258362123276e-05,M2
100,100_17,random,A-2,2.528250379327801e-06,M2
100,100_18,random,A-2,6.559356492630286e-08,M2
100,100_19,random,A-2,1.9780742331931834e-06,M2
100,100_0,random,A-2,1.3828881495925315e-07,fronto_pooled
100,100_1,random,A-2,-7.643798845720085e-07,fronto_pooled
100,100_2,random,A-2,-2.3483401005250925e-06,fronto_pooled
100,100_3,random,A-2,1.831615841834111e-07,fronto_pooled
100,100_4,random,A-2,-3.005488262033396e-07,fronto_pooled
100,100_5,random,A-2,5.068890013220085e-07,fronto_pooled
100,100_6,random,A-2,7.003015132767131e-07,fronto_pooled
100,100_7,random,A-2,-2.8891994506921036e-06,fronto_pooled
100,100_8,random,A-2,-8.157665752008825e-07,fronto_pooled
100,100_9,random,A-2,-9.404251026978727e-08,fronto_pooled
100,100_10,random,A-2,-4.378020761510726e-07,fronto_pooled
100,100_11,random,A-2,-2.2352814166879398e-06,fronto_pooled
100,100_12,random,A-2,8.609735223217285e-07,fronto_pooled
100,100_13,random,A-2,5.520775110738896e-07,fronto_pooled
100,100_14,random,A-2,-5.033201255173481e-07,fronto_pooled
100,100_15,random,A-2,6.462636546409328e-07,fronto_pooled
100,100_16,random,A-2,-8.987782275653443e-06,fronto_pooled
100,100_17,random,A-2,1.501724722174913e-06,fronto_pooled
100,100_18,random,A-2,-3.856575048963862e-07,fronto_pooled
100,100_19,random,A-2,-1.293024777524465e-07,fronto_pooled
100,100_0,random,A-2,2.1526886166611803e-06,mastoids_pooled
100,100_1,random,A-2,1.11237969576905e-06,mastoids_pooled
100,100_2,random,A-2,-3.504750054617034e-06,mastoids_pooled
100,100_3,random,A-2,9.455086922116607e-07,mastoids_pooled
100,100_4,random,A-2,-1.6736912790804582e-07,mastoids_pooled
100,100_5,random,A-2,4.2229510057723017e-07,mastoids_pooled
100,100_6,random,A-2,-2.741926566685038e-07,mastoids_pooled
100,100_7,random,A-2,1.5076166914695932e-06,mastoids_pooled
100,100_8,random,A-2,3.5145181799478563e-07,mastoids_pooled
100,100_9,random,A-2,4.6445885679702317e-07,mastoids_pooled
100,100_10,random,A-2,3.021421774188071e-07,mastoids_pooled
100,100_11,random,A-2,-5.787270156361046e-06,mastoids_pooled
100,100_12,random,A-2,8.197230890516494e-07,mastoids_pooled
100,100_13,random,A-2,-2.5713278887451453e-06,mastoids_pooled
100,100_14,random,A-2,1.900134621024563e-07,mastoids_pooled
100,100_15,random,A-2,-2.0092070280952614e-06,mastoids_pooled
100,100_16,random,A-2,-1.0155215040867915e-05,mastoids_pooled
100,100_17,random,A-2,1.6774514608641766e-06,mastoids_pooled
100,100_18,random,A-2,4.406959555325329e-07,mastoids_pooled
100,100_19,random,A-2,1.418854474195541e-06,mastoids_pooled
100,100_0,random,A-3,-3.6422915115963407e-07,FZ
100,100_1,random,A-3,-6.101412179759791e-07,FZ
100,100_2,random,A-3,-2.760741135716671e-06,FZ
100,100_3,random,A-3,-6.863755106678582e-07,FZ
100,100_4,random,A-3,-5.728632206825068e-08,FZ
100,100_5,random,A-3,-2.401615996205919e-07,FZ
100,100_6,random,A-3,8.68202098445181e-07,FZ
100,100_7,random,A-3,-1.7323933889201726e-06,FZ
100,100_8,random,A-3,-7.755166927836399e-07,FZ
100,100_9,random,A-3,7.230410815850519e-08,FZ
100,100_10,random,A-3,-6.600921301469498e-07,FZ
100,100_11,random,A-3,-1.4195607900546747e-06,FZ
100,100_12,random,A-3,5.931209784648672e-07,FZ
100,100_13,random,A-3,2.1734253991212426e-07,FZ
100,100_14,random,A-3,-2.2999789166533447e-07,FZ
100,100_15,random,A-3,6.287479197908397e-07,FZ
100,100_16,random,A-3,-9.330582506663632e-06,FZ
100,100_17,random,A-3,1.528315124232904e-06,FZ
100,100_18,random,A-3,-9.355015913570241e-07,FZ
100,100_19,random,A-3,1.543315111263155e-07,FZ
100,100_0,random,A-3,-4.089053825850897e-07,CZ
100,100_1,random,A-3,-1.2131740254517354e-06,CZ
100,100_2,random,A-3,-1.060261091083703e-06,CZ
100,100_3,random,A-3,-9.060843936481433e-08,CZ
100,100_4,random,A-3,-2.1633398322506992e-07,CZ
100,100_5,random,A-3,6.699398909404408e-07,CZ
100,100_6,random,A-3,4.122460824240726e-07,CZ
100,100_7,random,A-3,-1.3358725345824496e-06,CZ
100,100_8,random,A-3,-7.800265916557691e-07,CZ
100,100_9,random,A-3,2.5829214678196877e-07,CZ
100,100_10,random,A-3,-1.5245105519312574e-07,CZ
100,100_11,random,A-3,-1.2360068353700626e-06,CZ
100,100_12,random,A-3,5.764659408669104e-07,CZ
100,100_13,random,A-3,-2.3989504533972196e-08,CZ
100,100_14,random,A-3,-1.9224759569169693e-07,CZ
100,100_15,random,A-3,2.460433191942002e-07,CZ
100,100_16,random,A-3,-9.15628537768498e-06,CZ
100,100_17,random,A-3,8.995651296572759e-07,CZ
100,100_18,random,A-3,-7.178755004133563e-07,CZ
100,100_19,random,A-3,-7.097565969615971e-07,CZ
100,100_0,random,A-3,1.7886546174850082e-06,M1
100,100_1,random,A-3,1.0705518570830464e-06,M1
100,100_2,random,A-3,-5.670558693964267e-06,M1
100,100_3,random,A-3,9.198640236718347e-07,M1
100,100_4,random,A-3,-8.220428963312542e-07,M1
100,100_5,random,A-3,7.419124926855147e-07,M1
100,100_6,random,A-3,4.393926672807691e-07,M1
100,100_7,random,A-3,9.882756648948998e-07,M1
100,100_8,random,A-3,1.870779598078798e-07,M1
100,100_9,random,A-3,-3.632085233995497e-07,M1
100,100_10,random,A-3,-1.1386228061383007e-06,M1
100,100_11,random,A-3,-7.815975368430373e-06,M1
100,100_12,random,A-3,-6.275826990531641e-07,M1
100,100_13,random,A-3,-2.158185648113431e-06,M1
100,100_14,random,A-3,3.200176749373895e-08,M1
100,100_15,random,A-3,-2.157947178602626e-06,M1
100,100_16,random,A-3,-9.553810414217879e-06,M1
100,100_17,random,A-3,8.971283386927098e-07,M1
100,100_18,random,A-3,7.495450222450018e-07,M1
100,100_19,random,A-3,2.443305257315842e-07,M1
100,100_0,random,A-3,1.6422856703002253e-07,M2
100,100_1,random,A-3,1.265114001398615e-06,M2
100,100_2,random,A-3,-2.4758185782047803e-06,M2
100,100_3,random,A-3,4.6242564280873924e-07,M2
100,100_4,random,A-3,-9.074505965145363e-07,M2
100,100_5,random,A-3,-5.856878487975336e-07,M2
100,100_6,random,A-3,5.5614345157994903e-08,M2
100,100_7,random,A-3,1.32173704514571e-06,M2
100,100_8,random,A-3,7.078386408920778e-07,M2
100,100_9,random,A-3,-1.7402035177838115e-06,M2
100,100_10,random,A-3,-1.2977988671991625e-06,M2
100,100_11,random,A-3,-4.5633775152964514e-06,M2
100,100_12,random,A-3,1.1308543015786654e-07,M2
100,100_13,random,A-3,-1.7866652342490851e-06,M2
100,100_14,random,A-3,-2.0736329471304772e-08,M2
100,100_15,random,A-3,-1.7318546770184184e-06,M2
100,100_16,random,A-3,-1.1251482828811276e-05,M2
100,100_17,random,A-3,3.038474324057461e-06,M2
100,100_18,random,A-3,2.0981183119772594e-07,M2
100,100_19,random,A-3,1.0582011077531207e-06,M2
100,100_0,random,A-3,-3.0911835637326134e-07,fronto_pooled
100,100_1,random,A-3,-7.151849398496779e-07,fronto_pooled
100,100_2,random,A-3,-2.6530753839324463e-06,fronto_pooled
100,100_3,random,A-3,-4.90213879629664e-07,fronto_pooled
100,100_4,random,A-3,2.3718454085619455e-07,fronto_pooled
100,100_5,random,A-3,-5.884670552447346e-08,fronto_pooled
100,100_6,random,A-3,7.389892055300607e-07,fronto_pooled
100,100_7,random,A-3,-1.3248967629380103e-06,fronto_pooled
100,100_8,random,A-3,-6.13546656314412e-07,fronto_pooled
100,100_9,random,A-3,3.860284046197648e-08,fronto_pooled
100,100_10,random,A-3,-5.303182908846793e-07,fronto_pooled
100,100_11,random,A-3,-1.6726839758121058e-06,fronto_pooled
100,100_12,random,A-3,7.188251317984395e-07,fronto_pooled
100,100_13,random,A-3,9.127481123982762e-08,fronto_pooled
100,100_14,random,A-3,-1.909546125775652e-07,fronto_pooled
100,100_15,random,A-3,7.315661669053952e-07,fronto_pooled
100,100_16,random,A-3,-9.189751122903544e-06,fronto_pooled
100,100_17,random,A-3,1.4974178679949545e-06,fronto_pooled
100,100_18,random,A-3,-3.947507219379531e-07,fronto_pooled
100,100_19,random,A-3,4.149250176510577e-08,fronto_pooled
100,100_0,random,A-3,9.764415922575154e-07,mastoids_pooled
100,100_1,random,A-3,1.1678329292408307e-06,mastoids_pooled
100,100_2,random,A-3,-4.073188636084524e-06,mastoids_pooled
100,100_3,random,A-3,6.91144833240287e-07,mastoids_pooled
100,100_4,random,A-3,-8.647467464228953e-07,mastoids_pooled
100,100_5,random,A-3,7.811232194399054e-08,mastoids_pooled
100,100_6,random,A-3,2.47503506219382e-07,mastoids_pooled
100,100_7,random,A-3,1.1550063550203049e-06,mastoids_pooled
100,100_8,random,A-3,4.474583003499788e-07,mastoids_pooled
100,100_9,random,A-3,-1.0517060205916805e-06,mastoids_pooled
100,100_10,random,A-3,-1.2182108366687316e-06,mastoids_pooled
100,100_11,random,A-3,-6.189676441863412e-06,mastoids_pooled
100,100_12,random,A-3,-2.572486344476488e-07,mastoids_pooled
100,100_13,random,A-3,-1.972425441181258e-06,mastoids_pooled
100,100_14,random,A-3,5.632719011217091e-09,mastoids_pooled
100,100_15,random,A-3,-1.9449009278105223e-06,mastoids_pooled
100,100_16,random,A-3,-1.0402646621514577e-05,mastoids_pooled
100,100_17,random,A-3,1.967801331375085e-06,mastoids_pooled
100,100_18,random,A-3,4.796784267213639e-07,mastoids_pooled
100,100_19,random,A-3,6.512658167423524e-07,mastoids_pooled
100,100_0,random,A-4,1.614211147682454e-07,FZ
100,100_1,random,A-4,-1.9035013285595425e-07,FZ
100,100_2,random,A-4,-1.6891155291887117e-06,FZ
100,100_3,random,A-4,-2.699259562888301e-07,FZ
100,100_4,random,A-4,3.600751358945331e-07,FZ
100,100_5,random,A-4,-4.8357562327794314e-08,FZ
100,100_6,random,A-4,1.3584183261627914e-06,FZ
100,100_7,random,A-4,-1.5504869998039795e-06,FZ
100,100_8,random,A-4,-8.569809517666727e-07,FZ
100,100_9,random,A-4,2.642650215989306e-07,FZ
100,100_10,random,A-4,1.2560043728626625e-06,FZ
100,100_11,random,A-4,-1.1281197225798678e-06,FZ
100,100_12,random,A-4,3.4836934673876387e-07,FZ
100,100_13,random,A-4,8.508376799909456e-07,FZ
100,100_14,random,A-4,-3.611735101571867e-07,FZ
100,100_15,random,A-4,8.180986992556427e-07,FZ
100,100_16,random,A-4,-7.054284378682496e-06,FZ
100,100_17,random,A-4,1.8647925571713132e-06,FZ
100,100_18,random,A-4,-6.387381984040985e-07,FZ
100,100_19,random,A-4,1.1027995162748995e-06,FZ
100,100_0,random,A-4,3.472899402368057e-07,CZ
100,100_1,random,A-4,-9.47436485603248e-07,CZ
100,100_2,random,A-4,-2.2670853591755247e-07,CZ
100,100_3,random,A-4,1.3231141586800278e-07,CZ
100,100_4,random,A-4,2.4750937839712604e-07,CZ
100,100_5,random,A-4,7.763139501548721e-07,CZ
100,100_6,random,A-4,9.673727811332356e-07,CZ
100,100_7,random,A-4,-7.048503147188967e-07,CZ
100,100_8,random,A-4,-8.96410349469079e-07,CZ
100,100_9,random,A-4,6.246251281538662e-07,CZ
100,100_10,random,A-4,1.8235744209960103e-06,CZ
100,100_11,random,A-4,-1.1147193663418875e-06,CZ
100,100_12,random,A-4,5.696569292013009e-07,CZ
100,100_13,random,A-4,7.665412022106466e-07,CZ
100,100_14,random,A-4,-1.64481489175472e-07,CZ
100,100_15,random,A-4,2.6298530713120273e-07,CZ
100,100_16,random,A-4,-6.9175763019302395e-06,CZ
100,100_17,random,A-4,1.1327335914756985e-06,CZ
100,100_18,random,A-4,-2.0124437067350897e-07,CZ
100,100_19,random,A-4,1.0674099968355221e-07,CZ
