SOA,Condition,Time,Voltage,Electrode
100,random,-0.025390625,-0.19069955853323609,FZ
100,random,-0.0234375,-0.14875650027335036,FZ
100,random,-0.021484375,-0.10713050784261212,FZ
100,random,-0.01953125,-0.06554813061221407,FZ
100,random,-0.017578125,-0.023959084138880326,FZ
100,random,-0.015625,0.017316075062723188,FZ
100,random,-0.013671875,0.05748366587177145,FZ
100,random,-0.01171875,0.09524342505784486,FZ
100,random,-0.009765625,0.12883513775818753,FZ
100,random,-0.0078125,0.15614113912931776,FZ
100,random,-0.005859375,0.17487887440381658,FZ
100,random,-0.00390625,0.18282102764999303,FZ
100,random,-0.001953125,0.1780226636327598,FZ
100,random,0.0,0.1590427661568584,FZ
100,random,0.001953125,0.1251614803798873,FZ
100,random,0.00390625,0.07649885880312009,FZ
100,random,0.005859375,0.014046123553157515,FZ
100,random,0.0078125,-0.06038125022200805,FZ
100,random,0.009765625,-0.1442707682208777,FZ
100,random,0.01171875,-0.23458353730632098,FZ
100,random,0.013671875,-0.32800383085174184,FZ
100,random,0.015625,-0.42121848036202886,FZ
100,random,0.017578125,-0.5111718611061634,FZ
100,random,0.01953125,-0.5952957440769071,FZ
100,random,0.021484375,-0.6716343644797008,FZ
100,random,0.0234375,-0.7388885187253892,FZ
100,random,0.025390625,-0.7964162367812833,FZ
100,random,0.02734375,-0.844147456469102,FZ
100,random,0.029296875,-0.8824200314005992,FZ
100,random,0.03125,-0.9118136066632587,FZ
100,random,0.033203125,-0.932973513911861,FZ
100,random,0.03515625,-0.9464552761073719,FZ
100,random,0.037109375,-0.9526240773993777,FZ
100,random,0.0390625,-0.9516157675193424,FZ
100,random,0.041015625,-0.9433507045741862,FZ
100,random,0.04296875,-0.9276167016736281,FZ
100,random,0.044921875,-0.9041914916352313,FZ
100,random,0.046875,-0.8729819974462315,FZ
100,random,0.048828125,-0.8341705061809535,FZ
100,random,0.05078125,-0.7883518307494343,FZ
100,random,0.052734375,-0.7366000247088778,FZ
100,random,0.0546875,-0.6804579427921454,FZ
100,random,0.056640625,-0.6218828133341958,FZ
100,random,0.05859375,-0.5631330413535808,FZ
100,random,0.060546875,-0.506604211025774,FZ
